fips,stname,Ctyname,cases_2018,ststatus,pop_2018,pct_uninsured,incidence_2018,active_months_10c,mean_annual_temp_c
36017,New York,Chenango County,83,High Incidenc,47536,4.9,174.60451026590374,5,7.67
36019,New York,Clinton County,42,High Incidenc,80695,5,52.04783443831712,5,6.41
36021,New York,Columbia County,129,High Incidenc,59916,5.8,215.3014219907871,6,9.47
36023,New York,Cortland County,22,High Incidenc,47823,4.4,46.00296928256279,5,7.33
36025,New York,Delaware County,38,High Incidenc,44527,5.8,85.34147820423564,5,7.29
36027,New York,Dutchess County,292,High Incidenc,293718,5.1,99.41508521779394,6,10.09
36029,New York,Erie County,66,High Incidenc,919719,4.4,7.17610487551089,5,8.96
36031,New York,Essex County,17,High Incidenc,37300,4.5,45.57640750670242,5,5.5
36033,New York,Franklin County,23,High Incidenc,50293,6.8,45.73201041894498,5,5.62
36035,New York,Fulton County,29,High Incidenc,53591,5.1,54.11356384467541,5,7.24
36037,New York,Genesee County,6,High Incidenc,57511,4.5,10.432786771226374,5,8.64
36039,New York,Greene County,69,High Incidenc,47491,5.6,145.29068665641913,5,7.95
36041,New York,Hamilton County,1,High Incidenc,4434,6.3,22.552999548940008,5,5.12
36043,New York,Herkimer County,31,High Incidenc,61833,4.9,50.13504115925153,5,6.13
36045,New York,Jefferson County,14,High Incidenc,111755,4.8,12.52740369558409,5,7.57
36047,New York,Kings County,281,High Incidenc,2582830,7.8,10.879539110200826,6,13.11
36049,New York,Lewis County,14,High Incidenc,26447,5.1,52.936060800846974,5,6.21
36051,New York,Livingston County,13,High Incidenc,63227,4.5,20.56083635155867,5,9.01
36053,New York,Madison County,57,High Incidenc,70795,4.8,80.51416060456248,5,7.47
36055,New York,Monroe County,45,High Incidenc,742474,4.3,6.060818291280234,6,9.39
36057,New York,Montgomery County,49,High Incidenc,49455,5.3,99.07997169143664,5,8.3
36059,New York,Nassau County,31,High Incidenc,1358343,4.6,2.282192347588201,6,12.51
36061,New York,New York County,264,High Incidenc,1628701,6.1,16.209236686168914,6,13.12
36063,New York,Niagara County,2,High Incidenc,210433,4.4,0.9504212742298024,5,9.41
36065,New York,Oneida County,24,High Incidenc,229577,5,10.454008894619234,5,7.41
36067,New York,Onondaga County,71,High Incidenc,461809,4.7,15.374321418595134,5,8.3
36069,New York,Ontario County,34,High Incidenc,109864,4.3,30.94735309109444,5,8.78
36071,New York,Orange County,145,High Incidenc,381951,5.4,37.962984780770306,6,10.21
36073,New York,Orleans County,5,High Incidenc,40612,5.3,12.31163202994189,5,8.99
36075,New York,Oswego County,34,High Incidenc,117898,5.3,28.838487506149384,5,8.17
36077,New York,Otsego County,45,High Incidenc,59749,5.5,75.31506803461146,5,7.14
36079,New York,Putnam County,168,High Incidenc,98892,4.2,169.88229583788373,6,10.47
36081,New York,Queens County,85,High Incidenc,2278906,10.1,3.7298598538070458,6,12.88
36083,New York,Rensselaer County,107,High Incidenc,159442,4.2,67.10904278671869,5,8.9
36085,New York,Richmond County,88,High Incidenc,476179,5.3,18.480445378733627,6,13.06
36087,New York,Rockland County,48,High Incidenc,325695,5.3,14.7377147331092,6,11.35
36089,New York,St. Lawrence County,33,High Incidenc,108047,5.5,30.54226401473433,5,6.63
36091,New York,Saratoga County,77,High Incidenc,230163,4.1,33.45455177417743,5,8.29
36093,New York,Schenectady County,19,High Incidenc,155350,4.8,12.230447376890892,5,8.72
36095,New York,Schoharie County,73,High Incidenc,31097,5.2,234.74933273306104,5,7.45
36097,New York,Schuyler County,24,High Incidenc,17912,5.1,133.98838767306833,5,8.38
36099,New York,Seneca County,12,High Incidenc,34300,5.6,34.98542274052478,5,8.81
36101,New York,Steuben County,74,High Incidenc,95796,5.2,77.24748423733767,5,8.15
36103,New York,Suffolk County,193,High Incidenc,1481093,4.9,13.030917032218772,6,11.74
36105,New York,Sullivan County,14,High Incidenc,75498,6.2,18.54353757715436,5,8.36
36107,New York,Tioga County,19,High Incidenc,48560,4.6,39.12685337726524,5,8.33
36109,New York,Tompkins County,58,High Incidenc,102793,4.8,56.424075569348105,5,8.03
36111,New York,Ulster County,116,High Incidenc,178599,6,64.94997172436575,5,8.88
36113,New York,Warren County,11,High Incidenc,64265,4.9,17.11662646852875,5,6.73
36115,New York,Washington County,17,High Incidenc,61197,5.4,27.779139500302303,5,8.19
36117,New York,Wayne County,15,High Incidenc,90064,4.8,16.654823236809378,5,8.73
36119,New York,Westchester County,113,High Incidenc,967612,5.8,11.678234664307595,6,11.57
36121,New York,Wyoming County,1,High Incidenc,40085,4.6,2.4946987651241113,5,8.03
36123,New York,Yates County,32,High Incidenc,24841,8.4,128.81929068878063,5,8.67
42001,Pennsylvania,Adams County,137,High Incidenc,102811,7.1,133.25422376983008,6,11.64
42003,Pennsylvania,Allegheny County,404,High Incidenc,1218452,5,33.156825217571146,6,11.09
42005,Pennsylvania,Armstrong County,216,High Incidenc,65263,6.5,330.96854266582903,6,10.1
42007,Pennsylvania,Beaver County,254,High Incidenc,164742,5.1,154.18047613844678,6,10.45
42009,Pennsylvania,Bedford County,133,High Incidenc,48176,7.4,276.0710727333112,6,10.68
42011,Pennsylvania,Berks County,279,High Incidenc,420152,7.5,66.4045393095832,6,11.54
42013,Pennsylvania,Blair County,118,High Incidenc,122492,6.3,96.332821735297,6,9.93
42015,Pennsylvania,Bradford County,161,High Incidenc,60833,6.7,264.6589844327914,5,8.62
42017,Pennsylvania,Bucks County,398,High Incidenc,628195,5.2,63.35612349668495,6,12
42019,Pennsylvania,Butler County,624,High Incidenc,187888,4.6,332.11274802009706,6,9.84
42021,Pennsylvania,Cambria County,137,High Incidenc,131730,5.4,104.00060730281636,6,9
42023,Pennsylvania,Cameron County,15,High Incidenc,4492,5.9,333.92698130008904,5,8.33
42025,Pennsylvania,Carbon County,55,High Incidenc,64227,6.2,85.63376773008235,6,9.21
42027,Pennsylvania,Centre County,195,High Incidenc,162805,6.8,119.77519117963207,6,9.25
42029,Pennsylvania,Chester County,678,High Incidenc,522046,5.9,129.87361267014785,6,12.1
42031,Pennsylvania,Clarion County,187,High Incidenc,38779,8,482.21975811650634,6,9.37
42033,Pennsylvania,Clearfield County,221,High Incidenc,79388,6.4,278.37960397037335,6,8.87
42035,Pennsylvania,Clinton County,20,High Incidenc,38684,7.4,51.700961637886465,6,9
42037,Pennsylvania,Columbia County,41,High Incidenc,65456,6.2,62.63749694451234,6,9.71
42039,Pennsylvania,Crawford County,126,High Incidenc,85063,8.2,148.12550697718163,6,9.18
42041,Pennsylvania,Cumberland County,177,High Incidenc,251423,6,70.39928725693353,6,11.74
42043,Pennsylvania,Dauphin County,189,High Incidenc,277097,6.8,68.20716211290632,6,11.4
42045,Pennsylvania,Delaware County,156,High Incidenc,564751,6.1,27.62279305392996,6,13.08
42047,Pennsylvania,Elk County,67,High Incidenc,30169,5.1,222.08226987967785,5,8.64
42049,Pennsylvania,Erie County,111,High Incidenc,272061,6,40.79967360261118,6,9.31
42051,Pennsylvania,Fayette County,103,High Incidenc,130441,6.2,78.96290276830138,6,10.62
42053,Pennsylvania,Forest County,16,High Incidenc,7279,7.1,219.81041351834045,6,8.87
42055,Pennsylvania,Franklin County,48,High Incidenc,154835,8.9,31.00074272612781,6,11.43
42057,Pennsylvania,Fulton County,25,High Incidenc,14523,7,172.14074227088065,6,11.17
42059,Pennsylvania,Greene County,31,High Incidenc,36506,6.5,84.91754780036159,6,11.22
42061,Pennsylvania,Huntingdon County,67,High Incidenc,45168,6.6,148.3351044987602,6,10.69
42063,Pennsylvania,Indiana County,201,High Incidenc,84501,8.1,237.8670074910356,6,9.81
42065,Pennsylvania,Jefferson County,212,High Incidenc,43641,7,485.78171902568687,6,8.97
42067,Pennsylvania,Juniata County,18,High Incidenc,24704,8.5,72.86269430051813,6,10.96
42069,Pennsylvania,Lackawanna County,125,High Incidenc,210793,6.6,59.299881874635304,5,8.63
42071,Pennsylvania,Lancaster County,309,High Incidenc,543557,12.1,56.84776389596676,6,11.81
42073,Pennsylvania,Lawrence County,112,High Incidenc,86184,6.1,129.9545159194282,6,9.92
42075,Pennsylvania,Lebanon County,92,High Incidenc,141314,8.3,65.10324525524717,6,11.37
42077,Pennsylvania,Lehigh County,209,High Incidenc,368100,7.7,56.77804944308612,6,11.45
42079,Pennsylvania,Luzerne County,181,High Incidenc,317646,6.5,56.98167142038622,6,8.92
