"fips","stname","Ctyname","cases_2018","ststatus","pop_2018","pct_uninsured","incidence_2018","active_months_10c","mean_annual_temp_c","canopy_pct","coverage_wt"
27103,"Minnesota","Nicollet County",3,"High Incidenc",34220,4.2,8.76680303915839,5,6.98,4.65119617547669,1
27105,"Minnesota","Nobles County",0,"High Incidenc",21924,10.9,0,5,6.22,0.186969558860649,0.999999999999928
27107,"Minnesota","Norman County",3,"High Incidenc",6475,6.1,46.3320463320463,5,4.15,2.22899048970227,1
27109,"Minnesota","Olmsted County",26,"High Incidenc",156277,4,16.6371251047819,5,6.39,10.025539537086,1
27111,"Minnesota","Otter Tail County",28,"High Incidenc",58812,5.4,47.6093314289601,5,4.69,10.420355651184,0.993053361662007
27113,"Minnesota","Pennington County",2,"High Incidenc",14178,4.3,14.1063619692481,5,3.49,4.10179288044405,0.999999999999999
27115,"Minnesota","Pine County",45,"High Incidenc",29483,6.9,152.630329342333,5,4.75,38.9956338811245,1.00000000000033
27117,"Minnesota","Pipestone County",0,"High Incidenc",9047,8.6,0,5,5.86,0.259379139183593,1
27119,"Minnesota","Polk County",7,"High Incidenc",31529,5.3,22.2017824859653,5,3.9,2.93945865992625,1
27121,"Minnesota","Pope County",0,"High Incidenc",11097,5.2,0,5,5.61,3.43967099893151,1
27123,"Minnesota","Ramsey County",109,"High Incidenc",550210,6.2,19.8106177641264,5,6.77,15.1754529560623,1
27125,"Minnesota","Red Lake County",4,"High Incidenc",3999,5.6,100.025006251563,5,3.61,4.3162251780875,1
27127,"Minnesota","Redwood County",0,"High Incidenc",15249,7.3,0,5,6.38,1.18259363918937,1
27129,"Minnesota","Renville County",3,"High Incidenc",14612,6.7,20.5310703531344,5,6.43,1.77713158892343,1
27131,"Minnesota","Rice County",10,"High Incidenc",66523,6,15.0323948108173,5,6.5,7.82768438617143,0.999999999999997
27133,"Minnesota","Rock County",0,"High Incidenc",9414,4.9,0,5,6.7,0.37226404460379,1
27135,"Minnesota","Roseau County",7,"High Incidenc",15150,5.5,46.2046204620462,5,3.43,7.15927244879745,0.863022693710622
27137,"Minnesota","St. Louis County",82,"High Incidenc",199754,5.2,41.0504921052895,5,2.95,39.1607938510477,0.839046182988031
27139,"Minnesota","Scott County",22,"High Incidenc",147381,3.8,14.9272972771253,5,6.94,11.3887547500208,0.999999999999995
27141,"Minnesota","Sherburne County",42,"High Incidenc",96036,3.6,43.7335999000375,5,5.89,16.4761250598459,1
27143,"Minnesota","Sibley County",2,"High Incidenc",15028,6.4,13.3084908171413,5,6.84,2.97346714418084,1
27145,"Minnesota","Stearns County",36,"High Incidenc",159256,5.3,22.6051137790727,5,5.49,7.92188486731211,0.999999999999996
27147,"Minnesota","Steele County",4,"High Incidenc",36803,4.8,10.8686791837622,5,6.3,2.57751809981716,1
27149,"Minnesota","Stevens County",2,"High Incidenc",9753,5,20.5065108171845,5,5.86,0.478741050731152,1
27151,"Minnesota","Swift County",1,"High Incidenc",9345,6.9,10.7009095773141,5,6.15,0.971072589339187,1
27153,"Minnesota","Todd County",12,"High Incidenc",24582,8.2,48.8162069807176,5,4.93,14.9135558722717,1
27155,"Minnesota","Traverse County",0,"High Incidenc",3308,7.5,0,5,6,0.316637893791742,1
27157,"Minnesota","Wabasha County",5,"High Incidenc",21645,5.5,23.1000231000231,5,6.84,19.6697642710311,1.00000000000001
27159,"Minnesota","Wadena County",11,"High Incidenc",13773,6.3,79.8664052857039,5,4.47,19.6435301396448,0.999999999999999
