"HUC_12","PFOR90","PFOR"
"          NA",73.8676147,69.0315933
"          NA",75.4552231,63.8561249
"          NA",88.9419937,53.1190681
"          NA",78.6751938,60.561573
"          NA",66.6026001,52.9806976
"          NA",83.375824,60.7552338
"          NA",74.5075302,56.8378601
"          NA",74.4938965,56.3382339
"          NA",73.2862625,51.3502579
"          NA",81.5110474,67.192749
"          NA",81.0152588,65.6702271
"          NA",84.497551,75.3867416
"          NA",76.8616409,59.3544617
"          NA",60.0359306,47.5973167
"          NA",75.8364182,70.6230545
"          NA",82.3370667,74.346199
"          NA",73.7386093,63.9081726
"          NA",65.9317245,56.2149086
"          NA",70.8632507,64.1636963
"          NA",79.1564636,71.9029541
"          NA",70.0886993,57.4400826
"          NA",78.6929169,69.2557678
"          NA",70.9012222,61.949482
"          NA",75.7230072,49.9689598
"          NA",80.8809891,65.5279846
"          NA",76.2807999,63.5079002
"          NA",63.1798096,52.2264404
"          NA",56.5682983,50.3228989
"          NA",86.2267303,67.2486877
"          NA",77.1855621,59.9990654
"          NA",80.0325775,67.9974976
"          NA",65.3317337,58.382206
"          NA",93.8929825,87.2102585
"          NA",87.4150085,83.8481293
"          NA",89.2774582,79.3672562
"          NA",94.4550858,88.0434494
"          NA",93.118866,89.9262314
"          NA",91.4309158,84.8669434
"          NA",86.1289215,77.0561752
"          NA",92.0808868,85.8024063
"          NA",92.049118,87.9792862
"          NA",95.0641785,89.3376541
"          NA",92.2744141,82.5181046
"          NA",94.2845535,78.2968063
"          NA",93.3625412,81.5240097
"          NA",94.419548,91.5307159
"          NA",94.3131485,85.2566147
"          NA",91.0781784,85.0787048
"          NA",91.2917938,86.0049057
"          NA",91.6642151,88.4617233
"          NA",92.8609085,84.3856735
"          NA",95.580368,91.2701797
"          NA",95.5707626,92.1106873
"          NA",92.9249115,89.8771057
"          NA",93.2365952,89.231514
"          NA",93.4032211,86.7578812
"          NA",92.8136215,82.4022751
"          NA",85.095314,81.0533676
"          NA",92.0054016,86.3952332
"          NA",92.29776,80.4482651
"          NA",92.3184738,84.596283
"          NA",91.4781723,80.3073578
"          NA",91.3585892,83.778801
"          NA",94.1185303,84.5932465
"          NA",85.1138535,77.8561935
"          NA",85.5980835,82.5897446
"          NA",92.845993,91.6265793
"          NA",91.9416885,91.2525253
"          NA",94.2854919,92.0359116
"          NA",98.111763,97.4431381
"          NA",91.6333008,85.0496674
"          NA",88.8754349,82.1511536
"          NA",82.0730743,72.3702011
"          NA",91.3278732,89.9348679
"          NA",95.5002136,94.247345
"          NA",82.2117844,77.1556396
"          NA",88.9100647,83.0482788
"          NA",92.1778946,88.1260834
"          NA",92.5481262,88.8684158
"          NA",88.8415146,78.5357361
"          NA",89.8644867,83.072525
"          NA",87.3817978,83.103981
"          NA",94.9566727,94.3254318
"          NA",91.2252655,90.2323074
"          NA",86.5107346,84.7186813
"          NA",83.6837692,79.1719131
"          NA",81.2254944,78.0234909
"          NA",94.8113708,88.7356186
"          NA",88.7905045,79.1550293
"          NA",87.987793,84.3035202
"          NA",82.4951401,71.5798569
"          NA",85.877037,80.3399048
"          NA",85.9740906,80.5173111
"          NA",73.1166458,65.8253632
"          NA",85.3233109,77.9983673
"          NA",82.4531021,73.196373
"          NA",74.1860657,53.9275322
"          NA",77.6093597,65.4299927
"          NA",85.9421463,79.099205
"          NA",85.9645615,75.784935
"          NA",79.02388,68.613327
"          NA",72.414505,60.8491135
"          NA",83.5526276,68.2960815
"          NA",77.2294006,71.1868591
"          NA",52.8502274,46.4173965
"          NA",87.393158,83.2357178
"          NA",84.0682602,78.9338989
"          NA",76.0128021,68.2406998
"          NA",76.9253922,70.7880402
